페이지,요소 번호,텍스트,라벨
1,1,쿠팡플레이오류(?),1
1,2,스타시티즌 오리진 600i익스플로어 언제 다시 나오나요?,1
1,3,발로란트 UNG GAMES,0
1,4,발로란트 블리츠...,0
1,5,제베원 버블,1
1,6,애플워치 차이점,1
1,7,흰색을 보면 섬광이 보여요...,1
1,8,킹피스 로벅템...,1
1,9,모바일 배그 페이스북으로 로그인하면...,0
1,10,피시방 본인 인증 대한것 알아보는중인데요,1
1,11,헤드셋 새거사면 통증있나요,1
1,12,다잉라이트 생존자 레벨 올리는 방법이 따로 있나요?,1
1,13,서든 마이건마트 겸 다이너마트 현질가격,1
1,14,워치4 전원안켜짐,1
1,15,배틀필드 2042...,1
1,16,이런거는 과실은 어떻게될까여?,1
1,17,애플워치 추천해주세요 !!!,1
1,18,발로란트 한국 서버,0
1,19,직축 횡축 찾는법,1
1,20,배그 튕김 오류 질문,0
2,1,도와주세요,1
2,2,케이뱅크 비상금대출 300만원,1
2,3,Ps5 배틀필드 2042 에센셜,1
2,4,"올팜 맞팜 링크에용  >,<!",1
2,5,콜오브듀티,1
2,6,페이데이2 질문이요.,1
2,7,서든어택 클랜 마크 추출 부탁드립니다,1
2,8,Dpi를 2분에 1만큼 줄이면 fps...,1
2,9,감천에 가니 어떤 큰 왕릉이 있더라구요.그 능은 누구의 능인...,1
2,10,toreher we win,1
2,11,서든어택도 롤처럼 계급 시즌제인가요???,1
2,12,에스파 세비지,1
2,13,게이밍 노트북 오버워치 되는지 봐주세요,1
2,14,전남친한테 강ㄱ 당한거 현남친한테 말...,1
2,15,스타레일 대연만상,1
2,16,노트북 질문,1
2,17,콜오브듀티 모던 워페어2 컴퓨터 성능,1
2,18,하마종은 어디병원가나요~~,1
2,19,가볍게 점프하는 법,1
2,20,지플립5 잠금해제...,1
3,1,마상건즈에대한질문,1
3,2,밴달 스킨 추천,1
3,3,한포진? 같은데... 물집 터트리고 나서 손가락이 부었어요 무...,1
3,4,애플워치 스포츠밴드,1
3,5,서든 마이건 장점,1
3,6,배그 베린이 극복 하는법 있나요?,0
3,7,은평메딕텍고,1
3,8,"에쎄 히말,프로즌",1
3,9,콜옵 모던워페어 리부트 2 그래픽 설정 문제,1
3,10,이거 장미색 비강진 맞나요,1
3,11,배틀그라운드 플라임데빌 엠포시세!!,1
3,12,오버워치 뉴비 힐량 질문,1
3,13,토크온 안될때,1
3,14,스유랑 어탐중에 뭘 먼저 볼까요,1
3,15,일주일,1
3,16,야화첩 62화에서 윤승호가...,1
3,17,카드번호 이상,1
3,18,구매처좀 알려주세요,1
3,19,발로란트 시작 오류,0
3,20,클튜 피씨,1
